age,gender,department,education,years_experience,salary,performance_score,satisfaction_score,work_life_balance,monthly_hours,num_projects,distance_from_home,attrition
46,Female,Operations,Master,25,88659.0,4,1.0,Good,132.0,1,25.0,0
35,Female,IT,High School,11,72566.0,4,4.0,Good,160.0,5,8.0,0
30,Female,Sales,Master,11,65544.0,2,5.0,Good,,7,263.0,0
47,Female,Operations,Master,24,91989.0,3,3.0,Excellent,155.0,5,25.0,0
23,Female,Finance,Bachelor,3,26633.0,3,1.0,Fair,194.0,6,1.0,0
41,Female,IT,Master,22,86974.0,2,1.0,Excellent,152.0,1,11.0,0
49,Male,Finance,Bachelor,26,102357.0,3,3.0,Good,177.0,4,24.0,0
28,Male,Finance,Bachelor,9,60962.0,3,2.0,Fair,166.0,5,7.0,1
29,Male,HR,High School,4,45216.0,3,,Excellent,172.0,4,5.0,0
56,Male,Finance,Bachelor,37,123558.0,2,4.0,Good,215.0,5,20.0,1
35,Female,IT,PhD,14,75035.0,1,2.0,Good,179.0,4,5.0,0
38,Female,HR,Bachelor,14,59160.0,2,5.0,Good,184.0,7,1.0,0
57,Female,HR,Bachelor,38,116147.0,3,3.0,Good,155.0,5,355.0,0
25,Male,Finance,Bachelor,3,42082.0,3,2.0,Fair,190.0,4,11.0,1
23,Female,Finance,Bachelor,0,,4,4.0,Good,,6,21.0,0
27,Female,Finance,High School,8,44286.0,2,4.0,Fair,187.0,2,21.0,0
25,Female,Sales,Bachelor,1,31032.0,3,4.0,Excellent,144.0,4,1.0,0
50,Female,Finance,Master,29,99141.0,3,5.0,Excellent,160.0,2,3.0,0
39,Female,Finance,Bachelor,14,65374.0,3,4.0,Good,210.0,2,,1
47,Male,Finance,Bachelor,24,89142.0,1,5.0,Good,157.0,1,5.0,0
55,Female,Finance,High School,35,126973.0,3,3.0,Poor,214.0,7,13.0,0
31,Male,Finance,Bachelor,7,40941.0,4,4.0,Poor,,6,12.0,0
57,Male,IT,Master,37,122106.0,3,5.0,Excellent,178.0,2,9.0,0
35,Female,HR,High School,11,54507.0,2,4.0,Fair,170.0,3,3.0,0
52,Male,Sales,Bachelor,28,91215.0,5,2.0,Good,153.0,7,6.0,0
36,Female,IT,Bachelor,15,67813.0,3,3.0,Excellent,154.0,2,10.0,0
29,Male,HR,Master,8,45120.0,3,4.0,Excellent,157.0,4,8.0,0
35,Female,Finance,Master,14,70157.0,5,2.0,Good,178.0,2,2.0,0
44,Male,Sales,Bachelor,25,85073.0,4,5.0,Good,197.0,4,13.0,0
42,Female,Sales,Master,20,94542.0,3,,Good,177.0,4,1.0,0
37,Female,Finance,Master,13,66015.0,3,2.0,Excellent,174.0,3,6.0,0
39,Male,Sales,Master,16,66111.0,3,5.0,Good,205.0,2,15.0,0
45,Female,Sales,Master,25,100885.0,2,3.0,Good,176.0,2,1.0,0
47,Female,Sales,Bachelor,26,97559.0,4,1.0,Poor,161.0,5,11.0,0
46,Male,Sales,Bachelor,27,95330.0,2,,Poor,150.0,7,5.0,0
50,Male,Sales,High School,29,97609.0,3,4.0,Good,206.0,5,1.0,0
36,Male,IT,Bachelor,16,64627.0,5,1.0,Excellent,166.0,1,3.0,0
22,Male,IT,PhD,2,55903.0,5,5.0,Excellent,160.0,4,34.0,0
46,Female,Operations,Bachelor,22,77884.0,3,4.0,Excellent,,3,9.0,0
28,Female,HR,Bachelor,7,44872.0,4,4.0,Good,205.0,5,71.0,0
30,Male,Finance,Master,10,71003.0,3,3.0,Excellent,160.0,2,9.0,0
45,Male,Sales,Bachelor,23,77089.0,5,4.0,Excellent,199.0,1,10.0,0
22,Female,Sales,High School,0,29650.0,3,3.0,Good,169.0,3,6.0,1
29,Male,Finance,Bachelor,8,35688.0,1,3.0,Fair,144.0,6,5.0,0
45,Male,Sales,Bachelor,26,96823.0,3,3.0,Good,166.0,2,4.0,0
32,Female,IT,Master,12,62169.0,3,4.0,Excellent,174.0,2,6.0,0
38,Female,HR,High School,14,73156.0,3,1.0,Fair,172.0,6,8.0,0
29,Female,HR,Bachelor,5,30684.0,4,4.0,Excellent,171.0,4,3.0,0
56,Female,Sales,Bachelor,37,126036.0,4,4.0,Fair,166.0,4,,0
56,Male,IT,Bachelor,32,119769.0,3,2.0,Good,155.0,5,4.0,0
54,Female,HR,Master,29,104254.0,3,1.0,Good,175.0,5,8.0,0
26,Male,Sales,Bachelor,5,35604.0,2,3.0,Good,188.0,2,13.0,0
49,Male,Finance,Bachelor,25,84946.0,5,4.0,Good,138.0,7,24.0,0
28,Male,Finance,PhD,6,61113.0,5,2.0,Excellent,207.0,2,5.0,0
30,Male,Operations,Master,10,69139.0,5,3.0,Good,82.0,5,3.0,0
29,Female,Sales,High School,6,40459.0,5,4.0,Fair,176.0,6,6.0,0
33,Male,Finance,Bachelor,14,56032.0,3,4.0,Good,186.0,5,27.0,0
55,Male,HR,Master,32,103849.0,1,3.0,Fair,159.0,2,1.0,0
54,Male,IT,Master,30,127815.0,4,3.0,Fair,121.0,3,14.0,0
44,Male,Sales,Bachelor,21,95943.0,5,4.0,Good,172.0,2,8.0,0
45,Female,Finance,PhD,22,,3,5.0,Excellent,179.0,3,3.0,0
58,Male,Sales,Bachelor,33,106016.0,1,5.0,Good,146.0,3,5.0,0
56,Female,IT,Bachelor,34,120981.0,4,4.0,Good,154.0,2,4.0,0
43,Male,Sales,Bachelor,24,97589.0,2,3.0,Good,199.0,7,26.0,0
48,Female,Finance,High School,26,92966.0,3,,Fair,177.0,7,8.0,0
56,Female,Finance,Master,31,117830.0,4,2.0,Excellent,137.0,1,10.0,0
22,Male,Finance,High School,0,39854.0,3,2.0,Good,186.0,5,11.0,1
56,Female,IT,High School,33,279544.0,2,4.0,Excellent,151.0,7,13.0,0
58,Male,Sales,Master,37,140487.0,4,3.0,Fair,155.0,4,9.0,0
35,Male,HR,Bachelor,15,65026.0,4,3.0,Fair,179.0,2,1.0,0
24,Female,IT,High School,4,31099.0,5,5.0,Excellent,177.0,3,5.0,0
22,Male,Sales,High School,0,21757.0,3,2.0,Good,164.0,2,3.0,0
26,Male,Finance,High School,6,38082.0,2,2.0,Fair,162.0,5,14.0,0
47,Female,Operations,Bachelor,22,,4,2.0,Fair,168.0,6,1.0,0
35,Male,Finance,Master,13,409550.0,4,4.0,Excellent,155.0,7,10.0,0
48,Female,Finance,Bachelor,28,103929.0,3,4.0,Good,202.0,7,3.0,0
30,Male,Operations,High School,11,66015.0,4,3.0,Good,135.0,7,36.0,0
36,Female,Sales,Master,13,76998.0,3,4.0,Fair,168.0,3,5.0,0
36,Female,HR,Master,15,77989.0,3,4.0,Good,138.0,4,5.0,0
47,Female,Operations,Bachelor,24,90598.0,2,4.0,Excellent,198.0,4,31.0,0
34,Female,Sales,Bachelor,10,51819.0,3,,Fair,168.0,7,7.0,0
53,Male,Finance,Bachelor,30,102473.0,3,4.0,Good,148.0,4,40.0,0
53,Female,HR,Bachelor,28,88735.0,4,4.0,Excellent,192.0,6,1.0,0
25,Male,HR,Bachelor,3,46154.0,4,2.0,Fair,117.0,7,5.0,0
51,Male,Finance,Bachelor,29,87994.0,5,2.0,Good,182.0,1,14.0,0
58,Male,Operations,PhD,38,136531.0,2,1.0,Good,203.0,3,27.0,0
44,Male,Finance,High School,24,106096.0,2,,Good,179.0,6,4.0,0
36,Male,Sales,Master,11,68589.0,1,4.0,Good,162.0,3,32.0,0
50,Female,Operations,High School,26,96421.0,2,3.0,Good,143.0,7,11.0,0
57,Female,Sales,Master,32,125098.0,4,1.0,Good,202.0,6,20.0,1
34,Female,IT,Master,11,55177.0,4,4.0,Good,198.0,7,7.0,0
53,Male,IT,Master,28,98849.0,4,5.0,Good,158.0,6,3.0,0
28,Female,IT,High School,3,33940.0,3,4.0,Poor,159.0,7,30.0,0
43,Male,IT,Bachelor,24,82773.0,3,4.0,Good,204.0,1,33.0,0
49,Male,Operations,Bachelor,25,91900.0,3,,Excellent,188.0,3,9.0,0
23,Male,Finance,Master,0,43884.0,2,5.0,Good,130.0,6,1.0,0
27,Male,HR,Bachelor,6,56113.0,4,4.0,Good,170.0,1,2.0,0
49,Female,Sales,Bachelor,30,111488.0,5,4.0,Good,169.0,2,11.0,0
49,Female,Operations,Bachelor,28,92045.0,3,3.0,Excellent,181.0,7,1.0,0
41,Male,Operations,Bachelor,22,,4,1.0,Excellent,175.0,5,7.0,1
51,Male,Finance,Bachelor,29,97324.0,4,,Fair,162.0,6,5.0,0
32,Male,Sales,High School,13,54367.0,2,2.0,Good,179.0,4,16.0,0
49,Male,Sales,PhD,29,112546.0,4,5.0,Good,163.0,1,1.0,0
46,Female,Sales,Master,21,105814.0,3,3.0,Good,260.0,1,9.0,0
54,Male,Sales,PhD,32,130085.0,1,5.0,Fair,178.0,6,11.0,0
22,Male,IT,Bachelor,0,28206.0,4,3.0,Excellent,174.0,1,12.0,0
48,Male,Operations,Master,27,111374.0,5,3.0,Poor,221.0,2,7.0,0
34,Female,IT,Master,15,81769.0,3,5.0,Good,140.0,1,5.0,0
24,Female,Sales,Master,0,48950.0,3,3.0,Good,172.0,5,14.0,0
27,Female,IT,Master,3,41550.0,5,3.0,Fair,151.0,5,23.0,0
29,Female,Sales,Bachelor,9,55721.0,4,2.0,Excellent,190.0,7,15.0,0
48,Male,Sales,Master,24,92710.0,4,4.0,Excellent,162.0,7,33.0,0
30,Male,IT,Bachelor,5,40978.0,3,3.0,Good,189.0,4,16.0,0
58,Female,IT,High School,38,125453.0,5,4.0,Good,187.0,2,18.0,0
54,Female,Finance,Bachelor,30,106235.0,3,,Fair,194.0,5,3.0,0
45,Female,Operations,PhD,25,113382.0,4,4.0,Good,188.0,6,7.0,0
36,Female,IT,Master,17,88914.0,1,4.0,Fair,169.0,3,8.0,0
53,Female,IT,PhD,34,130224.0,4,3.0,Good,140.0,3,4.0,0
53,Female,Finance,Master,28,111453.0,3,3.0,Excellent,200.0,3,10.0,0
45,Female,IT,Bachelor,20,73928.0,3,4.0,Fair,210.0,7,5.0,0
33,Female,Sales,Bachelor,13,85866.0,3,3.0,Excellent,151.0,6,14.0,0
23,Female,Operations,Bachelor,0,22697.0,3,3.0,Poor,193.0,1,8.0,1
24,Female,Sales,High School,2,29394.0,4,3.0,Excellent,145.0,6,8.0,0
58,Male,HR,Bachelor,34,122061.0,5,5.0,Fair,180.0,1,50.0,0
38,Female,HR,Bachelor,14,61564.0,5,3.0,Good,185.0,3,6.0,0
23,Male,IT,Bachelor,0,37064.0,3,3.0,Fair,164.0,4,6.0,0
23,Female,IT,PhD,0,51224.0,4,4.0,Excellent,177.0,4,5.0,0
49,Female,Finance,Bachelor,26,91774.0,4,4.0,Good,196.0,1,28.0,0
44,Female,Sales,Master,23,91477.0,3,,Fair,172.0,3,9.0,0
58,Male,Sales,Master,37,479953.0,1,3.0,Good,158.0,6,11.0,0
53,Male,Finance,Bachelor,33,109361.0,4,,Good,144.0,4,3.0,0
54,Male,HR,Bachelor,33,111104.0,5,5.0,Good,165.0,1,10.0,0
22,Female,Sales,High School,3,30844.0,4,4.0,Excellent,145.0,6,4.0,0
40,Male,Operations,Bachelor,21,81626.0,3,3.0,Good,165.0,3,16.0,1
23,Male,IT,Master,0,31247.0,4,2.0,Fair,163.0,2,22.0,1
47,Male,Finance,High School,27,103547.0,3,5.0,Poor,195.0,3,16.0,0
53,Female,Finance,Bachelor,29,110078.0,4,4.0,Good,176.0,7,16.0,0
27,Female,HR,Bachelor,5,36865.0,4,3.0,Good,238.0,3,9.0,0
53,Male,IT,PhD,28,113918.0,2,2.0,Good,124.0,6,,0
25,Male,Operations,Master,1,43923.0,5,4.0,Fair,182.0,6,7.0,0
32,Male,Sales,Master,8,70122.0,3,3.0,Good,163.0,5,13.0,0
38,Female,Finance,High School,18,86893.0,5,3.0,Excellent,151.0,5,4.0,0
59,Female,Sales,Master,36,118778.0,3,2.0,Fair,174.0,6,1.0,0
45,Male,IT,Master,22,103050.0,3,3.0,Good,172.0,6,7.0,0
26,Female,IT,Master,1,,3,3.0,Excellent,201.0,2,,0
55,Male,Operations,PhD,32,129662.0,3,4.0,Good,177.0,2,4.0,0
27,Female,Operations,Bachelor,3,41537.0,2,3.0,Fair,157.0,3,16.0,0
43,Male,Sales,PhD,20,96152.0,4,3.0,Good,183.0,7,1.0,0
32,Male,Sales,PhD,11,86273.0,4,3.0,Excellent,169.0,4,4.0,0
37,Male,Finance,High School,14,76391.0,4,3.0,Poor,146.0,7,17.0,0
54,Female,IT,Bachelor,30,116690.0,1,2.0,Good,168.0,2,7.0,0
30,Female,Sales,PhD,10,60248.0,4,3.0,Fair,180.0,3,15.0,0
27,Male,Finance,High School,2,33162.0,2,,Good,176.0,7,11.0,0
37,Female,HR,Bachelor,15,52018.0,4,1.0,Good,183.0,1,37.0,0
50,Female,Operations,PhD,27,111377.0,2,1.0,Good,161.0,5,11.0,0
24,Male,Sales,Bachelor,5,23320.0,5,1.0,Poor,182.0,7,1.0,1
41,Male,IT,Bachelor,22,88602.0,4,4.0,Good,178.0,4,6.0,0
57,Female,HR,Bachelor,33,114254.0,4,,Good,178.0,3,,0
40,Male,Finance,Bachelor,18,71539.0,3,1.0,Good,175.0,7,32.0,1
47,Male,HR,Bachelor,25,86170.0,2,5.0,Good,229.0,6,2.0,0
24,Female,HR,High School,3,40012.0,3,2.0,Good,202.0,1,6.0,0
40,Male,Sales,Master,18,76908.0,5,4.0,Excellent,182.0,5,4.0,1
41,Male,Finance,Bachelor,22,76364.0,5,3.0,Good,154.0,1,23.0,0
53,Male,IT,Master,33,112880.0,1,4.0,Good,167.0,3,5.0,0
28,Female,Sales,Master,4,48369.0,4,3.0,Excellent,215.0,2,58.0,0
54,Male,Finance,Bachelor,30,100341.0,4,3.0,Fair,160.0,5,1.0,0
39,Male,Sales,Master,16,76926.0,4,4.0,Poor,170.0,1,2.0,0
22,Male,Sales,High School,0,34174.0,2,4.0,Good,169.0,2,4.0,0
32,Male,Operations,Bachelor,9,60206.0,3,3.0,Good,184.0,4,20.0,0
49,Male,IT,Bachelor,30,116603.0,3,2.0,Excellent,164.0,3,26.0,0
46,Male,Finance,PhD,27,117981.0,4,2.0,Excellent,179.0,3,1.0,0
44,Female,IT,High School,25,95280.0,3,4.0,Good,164.0,5,1.0,1
52,Male,Finance,Bachelor,33,114010.0,3,3.0,Good,207.0,1,17.0,0
51,Male,Sales,Master,32,106606.0,5,3.0,Good,157.0,4,2.0,0
56,Male,IT,Bachelor,37,119542.0,4,4.0,Fair,199.0,6,2.0,0
28,Male,Operations,High School,8,47079.0,5,5.0,Excellent,160.0,5,1.0,1
37,Male,Finance,Bachelor,18,70913.0,3,4.0,Excellent,153.0,6,1.0,0
47,Female,IT,Master,25,102172.0,2,,Good,157.0,5,4.0,0
23,Male,IT,Master,1,40744.0,5,4.0,Poor,,1,1.0,1
22,Male,Operations,Bachelor,1,24609.0,3,3.0,Fair,185.0,4,6.0,0
33,Male,HR,Bachelor,13,61291.0,3,3.0,Fair,145.0,1,22.0,0
26,Female,Finance,Bachelor,3,32387.0,3,4.0,Excellent,166.0,3,5.0,0
58,Female,Finance,Master,33,101546.0,2,3.0,Poor,194.0,6,16.0,0
53,Female,Sales,Bachelor,34,315370.0,3,5.0,Excellent,193.0,2,2.0,0
30,Male,Sales,Bachelor,9,53211.0,5,1.0,Good,139.0,7,13.0,0
56,Female,Finance,Bachelor,31,116235.0,5,1.0,Good,182.0,3,5.0,0
40,Male,Sales,High School,18,55582.0,5,5.0,Good,203.0,3,17.0,0
37,Male,IT,Bachelor,16,63036.0,2,4.0,Good,159.0,6,2.0,0
24,Male,Operations,High School,3,40951.0,3,3.0,Good,187.0,5,28.0,0
41,Male,HR,Bachelor,17,79525.0,1,4.0,Excellent,,3,4.0,0
45,Female,Finance,Master,23,94139.0,5,4.0,Good,184.0,7,6.0,0
54,Female,HR,Bachelor,32,104537.0,3,4.0,Good,178.0,4,36.0,0
45,Male,HR,PhD,25,122257.0,4,2.0,Good,191.0,3,11.0,0
32,Female,Sales,High School,11,63868.0,4,4.0,Fair,189.0,4,6.0,0
29,Female,IT,Master,10,71868.0,3,5.0,Good,141.0,1,36.0,0
57,Female,IT,Master,35,123755.0,3,2.0,Excellent,178.0,5,,0
59,Female,IT,Bachelor,38,133909.0,5,5.0,Poor,211.0,4,2.0,0
41,Female,Finance,High School,21,66939.0,5,5.0,Fair,120.0,3,70.0,0
56,Female,IT,Master,37,141549.0,3,4.0,Fair,199.0,5,4.0,1
46,Female,IT,Bachelor,26,94467.0,3,4.0,Good,215.0,7,23.0,0
56,Male,IT,PhD,32,131031.0,5,3.0,Fair,137.0,5,3.0,1
46,Male,Sales,Bachelor,27,89937.0,1,3.0,Good,158.0,4,16.0,0
50,Female,IT,PhD,29,107987.0,3,4.0,Poor,187.0,4,9.0,0
39,Male,Sales,Bachelor,17,73361.0,2,5.0,Poor,152.0,2,48.0,0
39,Female,Sales,Master,17,86911.0,4,4.0,Good,209.0,2,10.0,0
23,Male,Sales,Master,2,50621.0,1,3.0,Fair,201.0,5,1.0,0
56,Male,IT,Master,35,132258.0,3,2.0,Excellent,,6,12.0,0
37,Male,Finance,Bachelor,16,72945.0,3,1.0,Poor,156.0,6,2.0,1
57,Male,IT,Master,34,117609.0,4,3.0,Good,194.0,2,20.0,0
54,Female,IT,Bachelor,35,123639.0,5,1.0,Fair,193.0,3,24.0,0
25,Female,HR,Master,3,39215.0,4,4.0,Good,230.0,1,8.0,0
54,Female,Sales,Bachelor,35,126356.0,4,3.0,Excellent,153.0,5,19.0,0
35,Female,Operations,Master,15,76828.0,4,4.0,Excellent,211.0,1,2.0,0
42,Male,HR,High School,20,79594.0,1,3.0,Poor,152.0,2,9.0,0
41,Male,IT,Master,18,91927.0,3,4.0,Good,187.0,4,7.0,0
29,Female,HR,Master,8,68011.0,5,4.0,Good,197.0,7,12.0,0
28,Male,Sales,Master,4,56165.0,3,1.0,Fair,100.0,5,1.0,0
24,Male,HR,Bachelor,3,30936.0,2,1.0,Fair,197.0,2,17.0,1
38,Male,IT,Bachelor,17,78601.0,4,3.0,Excellent,209.0,3,1.0,0
54,Male,Operations,PhD,31,120981.0,3,5.0,Excellent,202.0,7,13.0,1
33,Female,Sales,Bachelor,14,71303.0,3,2.0,Excellent,226.0,5,1.0,1
43,Female,HR,Bachelor,21,71098.0,5,4.0,Excellent,199.0,5,22.0,0
43,Male,HR,Master,22,94250.0,5,5.0,Good,161.0,6,3.0,0
51,Female,Sales,Master,29,105932.0,3,4.0,Fair,205.0,4,9.0,0
59,Female,IT,Bachelor,34,,5,3.0,Fair,160.0,5,4.0,0
59,Male,Finance,Master,38,143921.0,4,5.0,Poor,,4,16.0,0
29,Female,Finance,Master,10,66591.0,4,2.0,Good,195.0,2,5.0,0
48,Female,IT,High School,26,96328.0,1,3.0,Excellent,186.0,3,16.0,1
48,Male,Finance,PhD,24,115633.0,2,5.0,Excellent,,7,5.0,0
55,Male,Operations,High School,35,126468.0,4,4.0,Excellent,237.0,7,17.0,0
42,Male,Operations,Bachelor,18,75298.0,5,3.0,Excellent,146.0,3,,0
51,Male,Sales,High School,30,101002.0,4,3.0,Excellent,,5,4.0,0
54,Male,Finance,High School,34,,2,3.0,Fair,182.0,5,318.0,1
49,Female,IT,PhD,27,102630.0,2,3.0,Excellent,163.0,2,1.0,0
54,Male,Operations,Bachelor,34,122277.0,4,3.0,Good,173.0,6,3.0,0
26,Male,IT,Bachelor,5,36818.0,2,5.0,Fair,194.0,6,33.0,0
40,Female,Sales,Bachelor,17,70578.0,4,5.0,Excellent,191.0,6,46.0,0
25,Female,Finance,Bachelor,6,52328.0,1,5.0,Excellent,,4,17.0,0
56,Male,IT,Bachelor,32,106675.0,2,3.0,Fair,178.0,6,4.0,0
38,Male,Operations,Bachelor,17,77679.0,4,4.0,Poor,412.0,3,4.0,0
49,Male,Operations,Bachelor,26,104111.0,4,5.0,Good,210.0,7,13.0,1
51,Female,Finance,Master,31,118380.0,3,5.0,Good,216.0,7,2.0,0
50,Male,Sales,Bachelor,30,107491.0,3,3.0,Excellent,200.0,4,,0
27,Male,Finance,Bachelor,6,44044.0,4,2.0,Fair,146.0,2,4.0,1
56,Female,Sales,Bachelor,34,115924.0,3,,Poor,168.0,3,96.0,1
58,Male,Sales,Master,38,126068.0,4,4.0,Fair,179.0,7,9.0,0
45,Female,Finance,Bachelor,23,85150.0,5,4.0,Poor,151.0,3,18.0,0
50,Female,Sales,Bachelor,28,89694.0,2,4.0,Poor,176.0,7,1.0,0
52,Male,IT,Bachelor,33,105309.0,5,3.0,Excellent,462.0,1,27.0,0
56,Female,Operations,PhD,34,118976.0,3,2.0,Good,,2,4.0,0
54,Male,IT,Bachelor,29,104611.0,4,3.0,Good,162.0,2,14.0,0
42,Female,IT,Master,23,111032.0,3,3.0,Poor,204.0,1,20.0,0
53,Female,Operations,Bachelor,30,,5,2.0,Fair,151.0,4,3.0,1
44,Female,Sales,Bachelor,21,90221.0,3,4.0,Excellent,154.0,7,8.0,0
54,Male,Finance,Master,34,134005.0,3,3.0,Good,165.0,7,9.0,0
24,Female,Operations,Bachelor,4,30406.0,5,4.0,Excellent,176.0,7,5.0,0
39,Female,Operations,Master,17,74629.0,4,3.0,Good,114.0,6,8.0,0
46,Male,Finance,PhD,27,125426.0,4,3.0,Fair,186.0,6,5.0,0
52,Female,IT,Master,33,121761.0,3,3.0,Good,217.0,6,6.0,0
24,Male,IT,High School,0,19673.0,4,,Fair,191.0,6,14.0,0
45,Male,Finance,Master,23,92405.0,1,1.0,Excellent,169.0,6,13.0,0
53,Male,Operations,Bachelor,28,103357.0,1,4.0,Fair,430.0,1,4.0,1
43,Male,HR,Master,21,86148.0,4,3.0,Good,,2,28.0,0
44,Male,Sales,Master,20,67803.0,3,5.0,Fair,133.0,4,24.0,0
23,Female,Sales,Master,0,37423.0,5,4.0,Good,171.0,3,263.0,0
48,Male,Sales,Bachelor,27,95572.0,5,3.0,Excellent,227.0,6,7.0,0
23,Female,Finance,Bachelor,1,32573.0,4,4.0,Good,107.0,1,6.0,0
47,Male,IT,High School,28,110071.0,4,2.0,Good,192.0,7,15.0,0
38,Female,Operations,Master,18,85428.0,4,5.0,Excellent,158.0,4,,0
54,Female,Finance,Bachelor,31,109443.0,2,3.0,Good,166.0,4,3.0,0
30,Male,Sales,Bachelor,9,60944.0,4,3.0,Fair,151.0,4,14.0,0
50,Female,HR,Master,30,115082.0,3,4.0,Fair,486.0,1,4.0,0
47,Male,IT,Bachelor,23,104592.0,3,4.0,Good,,3,1.0,0
56,Female,HR,Bachelor,34,104890.0,4,3.0,Good,181.0,6,15.0,0
46,Male,Finance,Bachelor,25,85026.0,4,4.0,Fair,191.0,4,,0
45,Female,Finance,Bachelor,23,92411.0,5,3.0,Fair,132.0,1,7.0,0
34,Male,Finance,Bachelor,10,65034.0,3,3.0,Excellent,196.0,7,9.0,0
28,Female,IT,High School,7,45893.0,4,4.0,Fair,197.0,2,36.0,1
57,Female,Sales,Bachelor,33,,2,3.0,Good,185.0,7,11.0,0
41,Male,Finance,Bachelor,16,84087.0,4,3.0,Poor,164.0,1,13.0,0
22,Male,Sales,Master,0,33661.0,4,4.0,Excellent,182.0,1,1.0,0
29,Male,IT,High School,10,,4,2.0,Poor,170.0,1,3.0,0
37,Male,Sales,Bachelor,18,85513.0,3,4.0,Good,199.0,4,5.0,0
35,Female,Finance,PhD,13,78967.0,1,3.0,Poor,165.0,1,10.0,1
33,Male,Sales,High School,10,50022.0,2,1.0,Good,177.0,2,18.0,1
44,Male,Finance,Bachelor,20,75570.0,4,2.0,Excellent,131.0,4,,0
36,Male,Operations,Master,16,87212.0,5,4.0,Good,182.0,7,6.0,0
49,Female,Sales,PhD,30,133481.0,3,4.0,Good,156.0,2,4.0,0
55,Male,Sales,Master,32,120269.0,4,1.0,Good,187.0,5,4.0,0
23,Male,IT,Master,0,55064.0,5,,Fair,194.0,7,36.0,0
53,Male,Operations,Master,32,120255.0,4,5.0,Excellent,159.0,1,13.0,0
44,Male,Sales,Bachelor,23,97838.0,4,1.0,Fair,175.0,6,3.0,0
43,Female,IT,Master,24,96543.0,4,5.0,Good,179.0,6,16.0,0
46,Male,Sales,High School,23,106170.0,3,,Fair,184.0,4,16.0,0
43,Male,Finance,PhD,24,122561.0,3,4.0,Fair,194.0,6,14.0,0
43,Female,IT,Bachelor,22,83976.0,1,3.0,Fair,191.0,7,2.0,0
27,Female,Finance,Bachelor,3,48976.0,5,5.0,Good,165.0,4,7.0,0
36,Male,Operations,Bachelor,13,73571.0,5,4.0,Good,214.0,7,2.0,0
58,Female,Sales,Master,36,142424.0,4,3.0,Good,193.0,1,21.0,0
54,Female,Finance,High School,30,85144.0,2,1.0,Fair,,3,13.0,0
29,Male,Sales,Master,5,58254.0,3,4.0,Poor,183.0,3,9.0,0
